Page_URL,Title,Location,Number_of_Guests,Number_of_Bedrooms,Number_of_Beds,Number_of_Bath,Price,Rating,Number_of_Reviews,Amenities,Sleeping_Arrangements,Hosted_by,Joined_Time,Languages,Response_Rate,Response_Time,Image_1,Image_2,Image_3,Current_Time
https://www.airbnb.com/rooms/49976358?source_impression_id=p3_1681516266_r%2FTfX1TMXVAatJCW,Minimalist Cozy Home With 4-Bedroom,"Kuching, Sarawak, Malaysia",,,,,$50 per night,4.95,19,"Mountain view
Resort view
Kitchen
Wifi – 34 Mbps
Dedicated workspace
Free parking on premises
55"" HDTV with Netflix
Free washer – In unit
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,Alvin,,,100%,within an hour,https://a0.muscache.com/im/pictures/miso/Hosting-49976358/original/85d7a4d2-0a12-4e71-a510-8d8e3b2b2e5b.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-49976358/original/85d7a4d2-0a12-4e71-a510-8d8e3b2b2e5b.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-49976358/original/85d7a4d2-0a12-4e71-a510-8d8e3b2b2e5b.jpeg?im_w=720,51:13.1
https://www.airbnb.com/rooms/24455376?source_impression_id=p3_1681516275_dH19NoVPncJy08Dl,Seladah Stay Bedroom C (Netflix / 300Mbps Wifi),"Kuching, Sarawak, Malaysia",,,,,$16 per night,5,17,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
Washer
Air conditioning
Hair dryer
Security cameras on property
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm","Bedroom
1 queen bed",Kevin,,,100%,within an hour,https://a0.muscache.com/im/pictures/miso/Hosting-24455376/original/cc263722-5d7f-4a87-aa00-c6c35598527e.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-24455376/original/cc263722-5d7f-4a87-aa00-c6c35598527e.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-24455376/original/cc263722-5d7f-4a87-aa00-c6c35598527e.jpeg?im_w=720,51:21.0
https://www.airbnb.com/rooms/861127880431759271?source_impression_id=p3_1681516268_fDxm5dx3E1YOZVzy,Staycation Homestay 15 Kch City Mall Landed House,"Kuching, Sarawak, Malaysia",,,,,$39 per night,,,"Kitchen
Wifi
Free parking on premises
TV
Washer
Air conditioning
Hair dryer
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,The Staycation,,"中文 (简体), English, Melayu",100%,within an hour,https://a0.muscache.com/im/pictures/miso/Hosting-861127880431759271/original/65ff4439-a064-454f-9fa0-280f289eb514.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-861127880431759271/original/65ff4439-a064-454f-9fa0-280f289eb514.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-861127880431759271/original/65ff4439-a064-454f-9fa0-280f289eb514.jpeg?im_w=720,51:14.2
https://www.airbnb.com/rooms/24466994?source_impression_id=p3_1681516276_mIfvp%2BawkXYZF1TG,Seladah Stay Bedroom A (Netflix / 300Mbps Wifi),"Kuching, Sarawak, Malaysia",,,,,$14 per night,4.8,5,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
Washer
Air conditioning
Hair dryer
Security cameras on property
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm","Bedroom
1 queen bed",Kevin,,,100%,within an hour,https://a0.muscache.com/im/pictures/miso/Hosting-24466994/original/d43a0c6c-044a-4414-a69c-5a613ac6c6d2.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-24466994/original/d43a0c6c-044a-4414-a69c-5a613ac6c6d2.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-24466994/original/d43a0c6c-044a-4414-a69c-5a613ac6c6d2.jpeg?im_w=720,51:22.6
https://www.airbnb.com/rooms/764848766870744445?source_impression_id=p3_1681516267_udrXCvbDicUGdw0z,"KJ Double Story House ,MJC KCH","Kuching, Sarawak, Malaysia",,,,,$91 per night,4.75,4,"Waterfront
Kitchen
Wifi
Dedicated workspace
Free parking on premises
TV
Washer
Security cameras on property
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,Kelvin,,,100%,within an hour,https://a0.muscache.com/im/pictures/39dd218d-a534-4cf0-86da-cc50067f37b1.jpg?im_w=720,https://a0.muscache.com/im/pictures/39dd218d-a534-4cf0-86da-cc50067f37b1.jpg?im_w=720,https://a0.muscache.com/im/pictures/39dd218d-a534-4cf0-86da-cc50067f37b1.jpg?im_w=720,51:14.4
https://www.airbnb.com/rooms/629257851710101135?source_impression_id=p3_1681516276_0qJ5ijtHSa8bXs7G,8 pax house | Chill Relax Home | Town | 4BR3BA,"Kuching, Sarawak, Malaysia",,,,,$88 per night,5,24,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
TV
Washer
Air conditioning
Security cameras on property
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,Liam,,"中文 (简体), English",100%,within an hour,https://a0.muscache.com/im/pictures/miso/Hosting-629257851710101135/original/5166e842-4271-4747-bd1e-84a6846c2ee6.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-629257851710101135/original/5166e842-4271-4747-bd1e-84a6846c2ee6.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-629257851710101135/original/5166e842-4271-4747-bd1e-84a6846c2ee6.jpeg?im_w=720,51:23.3
https://www.airbnb.com/rooms/49219201?source_impression_id=p3_1681516271_UhtMgIp2Ir04Q6hW,J.K Residence,"Kuching, Sarawak, Malaysia",,,,,$94 per night,5,5,"Kitchen
Wifi
Free parking garage on premises – 10 spaces
Shared outdoor pool - open specific hours
TV
Washer
Air conditioning
Private backyard – Not fully fenced
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,Kim Yu,,,100%,within an hour,https://a0.muscache.com/im/pictures/ae9026e8-402f-4730-80e9-994ff3c5a4cb.jpg?im_w=720,https://a0.muscache.com/im/pictures/ae9026e8-402f-4730-80e9-994ff3c5a4cb.jpg?im_w=720,https://a0.muscache.com/im/pictures/ae9026e8-402f-4730-80e9-994ff3c5a4cb.jpg?im_w=720,51:17.4
https://www.airbnb.com/rooms/680905836788388985?source_impression_id=p3_1681516279_gEcfM8FSxzQhm4z1,Rustic European Style w/ Bbq Pit+4carpark+BigGroup,"Kuching, Sarawak, Malaysia",,,,,$99 per night,,1,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
TV
Washer
Dryer
Air conditioning
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm","Bedroom 1
1 king bed
Bedroom 2
1 queen bed
Bedroom 3
1 single bed",Bana,,,96%,within an hour,https://a0.muscache.com/im/pictures/c94ab696-ae02-437e-8169-3068d24d7f9e.jpg?im_w=720,https://a0.muscache.com/im/pictures/c94ab696-ae02-437e-8169-3068d24d7f9e.jpg?im_w=720,https://a0.muscache.com/im/pictures/c94ab696-ae02-437e-8169-3068d24d7f9e.jpg?im_w=720,51:26.0
https://www.airbnb.com/rooms/861172919228061650?source_impression_id=p3_1681516271_8917kogsW9QAv%2BhC,Jazz Suites 2 @Vivacity Megamall,"Kuching, Sarawak, Malaysia",,,,,,,,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
TV
Washer
Air conditioning
Patio or balcony
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm",,,,,,,https://a0.muscache.com/im/pictures/miso/Hosting-861172919228061650/original/926f8a73-0a09-47f9-9650-1ccbb6fe57cd.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-861172919228061650/original/926f8a73-0a09-47f9-9650-1ccbb6fe57cd.jpeg?im_w=720,https://a0.muscache.com/im/pictures/miso/Hosting-861172919228061650/original/926f8a73-0a09-47f9-9650-1ccbb6fe57cd.jpeg?im_w=720,51:17.4
https://www.airbnb.com/rooms/750514789991874701?source_impression_id=p3_1681516279_7APFDGGSO9ZkXDXC,Kuching / Matang Jaya / Metrocity Stay,"Kuching, Sarawak, Malaysia",,,,,$53 per night,,1,"Kitchen
Wifi
Dedicated workspace
Free parking on premises
50"" HDTV
Washer
Window AC unit
Patio or balcony
Unavailable: Carbon monoxide alarm
Carbon monoxide alarm
Unavailable: Smoke alarm
Smoke alarm","Bedroom 1
2 queen beds, 1 floor mattress
Bedroom 2
2 single beds
Bedroom 3
1 queen bed",,,,,,https://a0.muscache.com/im/pictures/e0d6d528-543b-4f87-8daf-764183d61d7d.jpg?im_w=720,https://a0.muscache.com/im/pictures/e0d6d528-543b-4f87-8daf-764183d61d7d.jpg?im_w=720,https://a0.muscache.com/im/pictures/e0d6d528-543b-4f87-8daf-764183d61d7d.jpg?im_w=720,51:26.8
